sample ID	forward sequence count	reverse sequence count
YUN3428.2	4585	4585
BAQ4166.1.2	4111	4111
BAQ4166.3	3977	3977
BAQ4166.2	3940	3940
YUN3533.3	3938	3938
YUN3856.3	3901	3901
BAQ3473.3	3859	3859
YUN3533.2	3690	3690
BAQ3473.1	3574	3574
BAQ4697.3	3438	3438
YUN3428.3	3406	3406
YUN3259.3	3364	3364
YUN3428.1	3314	3314
YUN3856.1.1	3236	3236
YUN3259.2	3230	3230
BAQ4166.1.3	3163	3163
BAQ4166.1.1	3158	3158
YUN3856.2	3131	3131
BAQ3473.2	3074	3074
YUN3856.1.2	2977	2977
YUN3533.1.1	2953	2953
YUN3533.1.2	2941	2941
BAQ2462.1	2872	2872
YUN2029.2	2820	2820
YUN1005.1.1	2765	2765
BAQ2687.3	2728	2728
BAQ2687.1	2703	2703
BAQ4697.1	2662	2662
YUN3533.1.3	2568	2568
BAQ4697.2	2531	2531
YUN3346.3	2446	2446
YUN3856.1.3	2372	2372
YUN1242.3	2356	2356
BAQ2420.1.1	2315	2315
YUN1609.1	2277	2277
YUN3259.1.2	2198	2198
YUN3346.1	2180	2180
BAQ2687.2	2153	2153
BAQ2420.1.2	2109	2109
BAQ2420.1.3	2055	2055
BAQ2420.3	2028	2028
BAQ2420.2	1985	1985
BAQ2462.2	1938	1938
BAQ2838.1	1886	1886
YUN1242.1	1840	1840
YUN3153.3	1793	1793
BAQ2838.2	1762	1762
BAQ2462.3	1562	1562
YUN3153.2	1442	1442
YUN1005.3	1269	1269
BAQ2838.3	1231	1231
YUN3259.1.3	918	918
YUN3346.2	564	564
YUN3259.1.1	204	204
YUN1242.2	26	26
YUN2029.1	25	25
YUN3008.3	17	17
BAQ1370.1.3	16	16
BAQ1552.1.1	16	16
YUN3008.1.3	15	15
BAQ895.2	13	13
YUN3184.2	12	12
YUN3153.1	10	10
YUN3008.1.1	10	10
YUN1005.2	9	9
YUN1609.3	9	9
YUN2029.3	6	6
YUN3184.1	4	4
BAQ895.3	4	4
BAQ1552.2	4	4
YUN1005.1.3	3	3
BAQ1370.1.2	3	3
YUN3008.1.2	2	2
YUN3008.2	1	1
BAQ1370.3	1	1
